route,line,sae,position,node,position_x,position_y,edging,latitude,longitude
17_7,76,157,0,29352,600313.7674,513171.4289,391A05,4.64214131,-74.0955957
17_7,76,157,614,19810,600114.7723,513659.0555,390A05,4.64655447,-74.097384
17_7,76,157,1174,19811,600380.4171,514008.3131,108A05,4.64971064,-74.0949852
17_7,76,157,1651,29201,600701.8847,514132.8192,161A05,4.65083314,-74.0920857
17_7,76,157,2034,29205,601017.0637,513914.5910,159A05,4.64885547,-74.0892468
17_7,76,157,2349,29206,601274.6636,513733.1767,017A05,4.64721147,-74.0869267
17_7,76,157,2605,30904,601265.8874,513528.4610,004A05,4.64535981,-74.0870082
17_7,76,157,2953,30905,601011.7946,513297.2653,133A05,4.64327147,-74.0893015
17_7,76,157,3222,30906,600785.7845,513151.6182,005A05,4.64195664,-74.0913407
17_7,76,157,3841,29352,600313.7674,513171.4289,391A05,4.64214131,-74.0955957
738,79,165,0,29374,591046.5748,513752.8642,378A08,4.647503,-74.1791342
738,79,165,115,19142,591100.8305,513651.6250,375A08,4.64658664,-74.1786462
738,79,165,340,19143,591208.3227,513454.1993,369A08,4.64479964,-74.1776792
738,79,165,602,19144,591351.0002,513301.4025,372A08,4.64341597,-74.1763945
738,79,165,1037,19145,591613.6859,513048.0911,399A08,4.64112181,-74.174029
738,79,165,1268,19136,591752.9454,512958.0273,392A08,4.64030564,-74.1727745
738,79,165,1450,19147,591893.5630,513066.5112,528A08,4.64128547,-74.1715057
738,79,165,1712,19148,592122.1360,513194.6330,409A08,4.64244201,-74.1694437
738,79,165,2091,19149,592359.5500,512945.5645,068A08,4.64018647,-74.167306
738,79,165,2520,19150,592617.4275,512603.4422,059A08,4.63708897,-74.1649848
738,79,165,2809,19151,592792.4438,512372.6930,066A08,4.63499981,-74.1634095
738,79,165,2998,1689,592929.8933,512382.8302,028A08,4.63509004,-74.1621703
738,79,165,3551,1690,593337.2152,512755.8250,160A08,4.63845969,-74.1584943
738,79,165,4042,1691,593677.1353,512738.1504,052A08,4.63829615,-74.15543
738,79,165,4441,19155,593811.9292,512398.6841,003A08,4.63522397,-74.1542185
738,79,165,4701,19156,593664.3875,512190.2700,115A08,4.63334031,-74.1555508
738,79,165,5117,19157,593898.1984,511866.9521,429A08,4.63041314,-74.1534465
738,79,165,5557,19158,594226.4659,511574.0565,121A08,4.62776014,-74.1504903
738,79,165,5792,19159,594401.1239,511416.7878,118A08,4.62633564,-74.1489175
738,79,165,6216,32365,594710.8644,511126.9481,549A08,4.62371047,-74.1461284
738,79,165,6367,19160,594825.3877,511029.1206,123A08,4.62282431,-74.145097
738,79,165,6608,37516,595000.3495,510863.2351,584A08,4.62132185,-74.1435215
738,79,165,7184,27849,595079.6657,510600.8278,104A09,4.61894733,-74.1428094
738,79,165,7947,45603,595704.7946,510265.2403,099C09,4.61590487,-74.1371776
738,79,165,8675,45605,596218.1637,509757.0370,098C09,4.61130218,-74.1325553
738,79,165,9506,27853,596857.7246,509245.6354,096A09,4.60666914,-74.1267955
738,79,165,9801,27854,597061.9415,509033.6930,061A09,4.60474972,-74.1249569
738,79,165,10039,27855,597257.4761,508892.1027,095A09,4.60346677,-74.1231958
738,79,165,10499,19168,597632.5569,508677.8609,025A09,4.60152464,-74.119817
738,79,165,10878,19169,597939.3170,508456.3834,094A09,4.59951781,-74.1170542
